File,Label,Angle,Clase
sample_b2844009f3ef.png,Cedula,0,0
sample_b74703146f7c.png,Cedula,0,0
sample_6567f21e8d08.png,Cedula,0,0
sample_1ba34fa3f709.png,Cedula,0,0
sample_af6233b202f9.png,Cedula,0,0
sample_09a773c0fd7e.png,Cedula,0,0
sample_b04865975a67.png,Cedula,0,0
sample_115288ca2d08.png,Cedula,0,0
sample_9a01dd2ceeae.png,Cedula,0,0
sample_f34ff7268485.png,Cedula,0,0
sample_d544b802737c.png,Cedula,0,0
sample_0a767d4d9537.png,Cedula,0,0
sample_3a449e855930.png,Cedula,0,0
sample_6d98f8a54c83.png,Cedula,0,0
sample_c980ec171cb5.png,Cedula,0,0
sample_247617df6cd4.png,Cedula,0,0
sample_fd22253ab861.png,Cedula,0,0
sample_9a3859bf0df3.png,Cedula,0,0
sample_646907f20cff.png,Cedula,0,0
sample_b1df53b7dfb9.png,Cedula,0,0
sample_b41b5e785bbc.png,Cedula,0,0
sample_7cd3b69ae575.png,Cedula,0,0
sample_f521af3ec9b0.png,Cedula,0,0
sample_13b594227ef9.png,Cedula,0,0
sample_f63b3c0d94b9.png,Cedula,0,0
sample_ffa760d59296.png,Cedula,0,0
sample_a847b0020f8d.png,Cedula,0,0
sample_f2481621a584.png,Cedula,0,0
sample_12594b722907.png,Cedula,0,0
sample_68020a38811e.png,Cedula,0,0
sample_554610d5c348.png,Cedula,0,0
sample_fb0367d5d926.png,Cedula,0,0
sample_2ddead2e8d90.png,Cedula,0,0
sample_e2d866eaeb43.png,Cedula,0,0
sample_0e3db80b4bb4.png,Cedula,0,0
sample_f1f8626415ca.png,Cedula,0,0
sample_9992204267c7.png,Cedula,0,0
sample_0a2446bf0391.png,Cedula,0,0
sample_7ec706e47f67.png,Cedula,0,0
sample_bb3050ce0ff1.png,Cedula,0,0
sample_9876f65d255d.png,Cedula,0,0
sample_8e87c5a25040.png,Cedula,0,0
sample_b8c20226078d.png,Cedula,0,0
sample_0824ce958e5c.png,Cedula,0,0
sample_5b855fb5ba89.png,Cedula,0,0
sample_cdc0d1725a2f.png,Cedula,0,0
sample_bcda10456c67.png,Cedula,0,0
sample_6564e3940afb.png,Cedula,0,0
sample_8a35bed13662.png,Cedula,0,0
sample_8c9fe1c3bf99.png,Cedula,0,0
sample_2c31c7329b22.png,Cedula,0,0
sample_08c986a10f0f.png,Cedula,0,0
sample_c6b6c9075d59.png,Cedula,0,0
sample_db1769de02fc.png,Cedula,0,0
sample_1d43ca9648fe.png,Cedula,0,0
sample_769f74aec95d.png,Cedula,0,0
sample_7978ee60b4bc.png,Cedula,0,0
sample_da2ab23e2027.png,Cedula,0,0
sample_3d974f4735ff.png,Cedula,0,0
sample_be30dd3e1556.png,Cedula,0,0
sample_38d06b7769f1.png,Cedula,0,0
sample_50dcc5080ee0.png,Cedula,0,0
sample_e789d96fd8e3.png,Cedula,0,0
sample_96d02e98ef0d.png,Cedula,0,0
sample_c7e6d492c618.png,Cedula,0,0
sample_f65831646558.png,Cedula,0,0
sample_c4f72d458eca.png,Cedula,0,0
sample_75e89591f42c.png,Cedula,0,0
sample_6f21a86fd40e.png,Cedula,0,0
sample_f034f989034a.png,Cedula,0,0
sample_ad37b797ffdf.png,Cedula,0,0
sample_7ae09cb00e45.png,Cedula,0,0
sample_883d86cd0ffe.png,Cedula,0,0
