,File,Label,Angle,Clase,Original,Variation
0,sample_1767e50b6346.jpg,Cedula_Amarilla,181.9978798564767,36.0,True,0.0
1,sample_57331dadfe86.jpg,Cedula_Amarilla,10.124671655397815,2.0,True,0.0
2,sample_e12c7c9446cb.jpg,Cedula_Amarilla,180.0,36.0,True,0.0
3,sample_fb86137ec61c.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
4,sample_bb8fef4f517b.jpg,Cedula_Amarilla,174.58813084768298,34.0,True,0.0
5,sample_2b2b45c24ce2.jpg,Cedula_Amarilla,180.0,36.0,True,0.0
6,sample_a266315ff7ec.jpg,Cedula_Amarilla,192.01147838636544,38.0,True,0.0
7,sample_e52a8362a5c8.jpg,Cedula_Amarilla,359.71352348972295,71.0,True,0.0
8,sample_9d4abca96d67.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
9,sample_96a3f8655488.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
10,sample_c3ce959c1cfc.jpg,Cedula_Amarilla,180.0,36.0,True,0.0
11,sample_06fec7d65645.jpg,Cedula_Amarilla,2.1080953123570025,0.0,True,0.0
12,sample_9ed1ee912c25.jpg,Cedula_Amarilla,356.6002858408767,71.0,True,0.0
13,sample_3bae93165972.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
14,sample_98c5a6a8b0da.jpg,Cedula_Amarilla,7.917503034828343,1.0,True,0.0
15,sample_33c4f178a075.jpg,Cedula_Amarilla,14.606737354446995,2.0,True,0.0
16,sample_e45d8df6bc74.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
17,sample_59d9afacbc53.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
18,sample_8aefd62d9815.jpg,Cedula_Amarilla,180.0,36.0,True,0.0
19,sample_2de63be4eb5d.jpg,Cedula_Amarilla,164.30033145386545,32.0,True,0.0
20,sample_41fcacce1489.jpg,Cedula_Amarilla,350.7007583179366,70.0,True,0.0
21,sample_e489eb89a059.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
22,sample_e2060431cecd.jpg,Cedula_Amarilla,182.108095312357,36.0,True,0.0
23,sample_1c2047940c0f.jpg,Cedula_Amarilla,4.310625824820529,0.0,True,0.0
24,sample_21dae6986201.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
25,sample_5cd887e896a0.jpg,Cedula_Amarilla,180.0,36.0,True,0.0
26,sample_1e4b797356d9.jpg,Cedula_Amarilla,180.0,36.0,True,0.0
27,sample_aa0a9e88a9c9.jpg,Cedula_Amarilla,355.71846376492937,71.0,True,0.0
28,sample_113376a1b11b.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
29,sample_7315b4883116.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
30,sample_43c581b476a3.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
31,sample_190103954ad4.jpg,Cedula_Amarilla,0.6740368979845053,0.0,True,0.0
32,sample_247558dabaa8.jpg,Cedula_Amarilla,180.0,36.0,True,0.0
33,sample_a6afd59622d9.jpg,Cedula_Amarilla,172.58134993988654,34.0,True,0.0
34,sample_700837a0bd70.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
35,sample_38bce1ba7a6e.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
36,sample_848d719aef08.jpg,Cedula_Amarilla,182.92734799174087,36.0,True,0.0
37,sample_1f8b3db61d2a.jpg,Cedula_Amarilla,359.169684513742,71.0,True,0.0
38,sample_7d56d66f9a39.jpg,Cedula_Amarilla,182.94,36.0,True,0.0
39,sample_0eed404377d2.jpg,Cedula_Amarilla,2.503139779584906,0.0,True,0.0
40,sample_20ced6e2ff64.jpg,Cedula_Amarilla,6.159163029143085,1.0,True,0.0
41,sample_7bdee3979de8.jpg,Cedula_Amarilla,346.5904041329059,69.0,True,0.0
42,sample_95f21df6a7f2.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
43,sample_4935f67b2f00.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
44,sample_c84f0aa5a9e3.jpg,Cedula_Amarilla,350.64329201247136,70.0,True,0.0
45,sample_dc3b96e0cc8c.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
46,sample_5185c72d3f65.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
47,sample_e872f7bc5a09.jpg,Cedula_Amarilla,180.0,36.0,True,0.0
48,sample_cb8cae283f9f.jpg,Cedula_Amarilla,180.0,36.0,True,0.0
49,sample_d0df8bddb08a.jpg,Cedula_Amarilla,6.594515032227988,1.0,True,0.0
50,sample_dcdfb109c5ad.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
51,sample_f821d59b381e.jpg,Cedula_Amarilla,0.0,0.0,True,0.0
52,sample_ed26b4822408.jpg,Cedula_Amarilla,187.69,37.0,True,0.0
53,sample_a0440e3f35b9.jpg,Cedula_Amarilla,180.2212181266649,36.0,True,0.0
